file,MAE,error
000000.pth,978583.625,
000001.pth,978562.5,
000002.pth,978562.0,
000003.pth,978546.375,
000004.pth,978592.375,
000005.pth,978566.3125,
000006.pth,978518.125,
000007.pth,978552.125,
000008.pth,978594.8125,
000009.pth,978622.8125,
000010.pth,978575.375,
000011.pth,978681.125,
000012.pth,978652.3125,
000013.pth,978659.125,
000014.pth,978676.8125,
000015.pth,978652.6875,
000016.pth,978608.0,
000017.pth,978559.8125,
000018.pth,978548.625,
000019.pth,978738.5,
000020.pth,978681.5,
000021.pth,978676.125,
000022.pth,978688.3125,
000023.pth,978711.3125,
000024.pth,978722.125,
000025.pth,978724.8125,
000026.pth,978726.0,
000027.pth,978759.3125,
000028.pth,978898.0,
000029.pth,978852.0,
000030.pth,978806.625,
000031.pth,978776.1875,
000032.pth,978772.8125,
000033.pth,978768.6875,
000034.pth,978766.8125,
000035.pth,978760.375,
000036.pth,978770.1875,
000037.pth,978799.0,
000038.pth,978964.625,
000039.pth,978920.3125,
000040.pth,978887.5,
000041.pth,978872.8125,
000042.pth,978862.625,
000043.pth,978853.875,
000044.pth,978850.625,
000045.pth,978849.6875,
000046.pth,978868.8125,
000047.pth,978916.625,
000048.pth,978964.0,
000049.pth,,'Ground truth not found'
000050.pth,,'Ground truth not found'
000051.pth,,'Ground truth not found'
000052.pth,,'Ground truth not found'
000053.pth,,'Ground truth not found'
000054.pth,,'Ground truth not found'
000055.pth,,'Ground truth not found'
000056.pth,,'Ground truth not found'
000057.pth,,'Ground truth not found'
000058.pth,,'Ground truth not found'
000059.pth,,'Ground truth not found'
000060.pth,,'Ground truth not found'
000061.pth,,'Ground truth not found'
000062.pth,,'Ground truth not found'
000063.pth,,'Ground truth not found'
000064.pth,978730.0,
000065.pth,978718.1875,
000066.pth,978669.125,
000067.pth,978635.125,
000068.pth,978678.1875,
000069.pth,978645.8125,
000070.pth,978624.875,
000071.pth,978699.625,
000072.pth,978762.8125,
000073.pth,978801.6875,
000074.pth,978798.8125,
000075.pth,978870.375,
000076.pth,978881.0,
000077.pth,978888.5,
000078.pth,978872.8125,
000079.pth,978837.8125,
000080.pth,978808.0,
000081.pth,978751.3125,
000082.pth,978708.625,
000083.pth,978824.8125,
000084.pth,978826.0,
000085.pth,978867.5,
000086.pth,978896.3125,
000087.pth,978921.625,
000088.pth,978947.8125,
000089.pth,978962.625,
000090.pth,978956.5,
000091.pth,978942.5,
000092.pth,979003.6875,
000093.pth,979015.625,
000094.pth,979025.0,
000095.pth,979033.0,
000096.pth,979025.6875,
000097.pth,979010.125,
000098.pth,978996.125,
000099.pth,978981.3125,
000100.pth,978960.1875,
000101.pth,978932.1875,
000102.pth,979061.0,
000103.pth,979059.3125,
000104.pth,979062.8125,
000105.pth,979066.5,
000106.pth,979075.625,
000107.pth,979084.125,
000108.pth,979086.8125,
000109.pth,979079.0,
000110.pth,979071.375,
000111.pth,979064.3125,
000112.pth,979061.875,
000113.pth,,'Ground truth not found'
000114.pth,,'Ground truth not found'
000115.pth,,'Ground truth not found'
000116.pth,,'Ground truth not found'
000117.pth,,'Ground truth not found'
000118.pth,,'Ground truth not found'
000119.pth,,'Ground truth not found'
000120.pth,,'Ground truth not found'
000121.pth,,'Ground truth not found'
000122.pth,,'Ground truth not found'
000123.pth,,'Ground truth not found'
000124.pth,,'Ground truth not found'
000125.pth,,'Ground truth not found'
000126.pth,,'Ground truth not found'
000127.pth,,'Ground truth not found'
000128.pth,978642.5,
000129.pth,978576.8125,
000130.pth,978555.1875,
000131.pth,978538.125,
000132.pth,978620.3125,
000133.pth,978590.875,
000134.pth,978503.6875,
000135.pth,978508.375,
000136.pth,978556.8125,
000137.pth,978601.0,
000138.pth,978613.375,
000139.pth,978777.875,
000140.pth,978721.375,
000141.pth,978711.125,
000142.pth,978692.1875,
000143.pth,978630.625,
000144.pth,978590.625,
000145.pth,978567.6875,
000146.pth,978583.5,
000147.pth,978749.1875,
000148.pth,978700.8125,
000149.pth,978692.625,
000150.pth,978698.375,
000151.pth,978718.125,
000152.pth,978771.875,
000153.pth,978804.5,
000154.pth,978815.875,
000155.pth,978826.5,
000156.pth,978958.125,
000157.pth,978938.1875,
000158.pth,978927.625,
000159.pth,978914.6875,
000160.pth,978903.625,
000161.pth,978874.375,
000162.pth,978854.125,
000163.pth,978840.5,
000164.pth,978834.375,
000165.pth,978840.5,
000166.pth,979027.8125,
000167.pth,979007.0,
000168.pth,978998.375,
000169.pth,979007.0,
000170.pth,979015.0,
000171.pth,979026.3125,
000172.pth,979043.0,
000173.pth,979045.6875,
000174.pth,979040.8125,
000175.pth,979053.375,
000176.pth,979065.125,
000177.pth,,'Ground truth not found'
000178.pth,,'Ground truth not found'
000179.pth,,'Ground truth not found'
000180.pth,,'Ground truth not found'
000181.pth,,'Ground truth not found'
000182.pth,,'Ground truth not found'
000183.pth,,'Ground truth not found'
000184.pth,,'Ground truth not found'
000185.pth,,'Ground truth not found'
000186.pth,,'Ground truth not found'
000187.pth,,'Ground truth not found'
000188.pth,,'Ground truth not found'
000189.pth,,'Ground truth not found'
000190.pth,,'Ground truth not found'
